id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,keywords,score
41329,WMLH,heliport,TLDM Lumut Heliport,4.233307,100.616276,15,Perak,MY-08,8,Lumut,0,WMLH,,,,0
339978,MY-0006,heliport,KD Malaya Heliport,4.23302,100.61787,,Perak,MY-08,8,Lumut,0,,,,,0
504737,MY-0042,heliport,Station Lima Helipad,7.37375,113.84672,,Sabah,MY-12,12,Pulau Layang-Layang (Swallow Reef),0,,,,,0
504746,MY-0045,heliport,Putrajaya International Convention Centre Heliport,2.893768,101.679261,187,Putrajaya (Federal Territory),MY-16,16,Putrajaya,0,,,,,0
356346,MY-0038,heliport,Saratok Hospital Heliport,1.74693,111.34072,,Sarawak,MY-13,13,Saratok,0,,,,,0
356344,MY-0036,heliport,Sarikei Hospital Heliport,2.13516,111.49218,,Sarawak,MY-13,13,Sarikei,0,,,,,0
354859,MY-0013,heliport,Sepang F1 Circuit Helipad,2.761501,101.739817,,Selangor,MY-10,10,Sepang,0,,,,,0
354861,MY-0014,heliport,Pit Lane Exit Helipad,2.760815,101.734392,,Selangor,MY-10,10,Sepang,0,,,,,0
354862,MY-0029,heliport,Sepang F1 North Helipad,2.763797,101.73718,,Selangor,MY-10,10,Sepang,0,,,,,0
354863,MY-0030,heliport,Sepang F1 Parking A Helipad,2.758894,101.728113,,Selangor,MY-10,10,Sepang,0,,,,,0
354864,MY-0031,heliport,KLATCC Heliport,2.764049,101.701175,,Selangor,MY-10,10,Sepang,0,,,,,0
356345,MY-0037,heliport,Sibu Hospital Heliport,2.29754,111.88918,,Sarawak,MY-13,13,Sibu,0,,,,,0
339977,MY-0005,heliport,KD Sultan Ismail Heliport,1.372145,104.093959,,Johor,MY-01,1,Tanjung Pengelih,0,,,,,0
339976,MY-0004,heliport,Sultan Ahmad Haji Shah Hospital Helipad,3.45361,102.45338,,Pahang,MY-06,6,Temerloh,0,,,,,0
314657,MY-0002,heliport,Station Mike Helipad,7.966962,113.916362,,Sabah,MY-12,12,Terumbu Mantanani (Mariveles Reef),0,,,,,0
314656,MY-0001,heliport,Station Papa Helipad,8.11853,114.577985,,Sabah,MY-12,12,Terumbu Peninjau (Investigator Shoal),0,,,,,0
504738,MY-0043,heliport,Station Sierra Helipad,8.1025,114.13812,,Sabah,MY-12,12,Terumbu Siput (Erica Reef),0,,,,,0
354339,MY-0010,heliport,Station Uniform Helipad,7.60642,113.930363,,Sabah,MY-12,12,Terumbu Ubi (Ardasier Reef),0,,,,,0
